Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
77,Florian Neuhaus,de GER,"MF,FW",Gladbach,28,"€ 76,154 (£ 66,015, $88,695)","€ 3,960,000 (£ 3,432,756, $4,612,147)",
78,Bernardo,br BRA,DF,Hoffenheim,30,"€ 72,500 (£ 62,847, $84,440)","€ 3,770,000 (£ 3,268,053, $4,390,857)",Unverified estimation
79,Koki Machida,jp JPN,DF,Hoffenheim,27,"€ 72,500 (£ 62,847, $84,440)","€ 3,770,000 (£ 3,268,053, $4,390,857)",Unverified estimation
80,Vladimír Coufal,cz CZE,"DF,MF",Hoffenheim,32,"€ 72,500 (£ 62,847, $84,440)","€ 3,770,000 (£ 3,268,053, $4,390,857)",Unverified estimation
81,Robin Hack,de GER,MF,Gladbach,26,"€ 72,500 (£ 62,847, $84,440)","€ 3,770,000 (£ 3,268,053, $4,390,857)",Unverified estimation
82,Tim Kleindienst,de GER,FW,Gladbach,29,"€ 72,500 (£ 62,847, $84,440)","€ 3,770,000 (£ 3,268,053, $4,390,857)",Unverified estimation
83,Andreas Skov Olsen,dk DEN,MF,Wolfsburg,25,"€ 72,500 (£ 62,847, $84,440)","€ 3,770,000 (£ 3,268,053, $4,390,857)",Unverified estimation
84,Maximilian Arnold,de GER,MF,Wolfsburg,31,"€ 72,500 (£ 62,847, $84,440)","€ 3,770,000 (£ 3,268,053, $4,390,857)",Unverified estimation
85,Cameron Puertas,ch SUI,MF,Werder Bremen,26,"€ 72,500 (£ 62,847, $84,440)","€ 3,770,000 (£ 3,268,053, $4,390,857)",Unverified estimation
86,Ridle Baku,de GER,DF,RB Leipzig,27,"€ 72,500 (£ 62,847, $84,440)","€ 3,770,000 (£ 3,268,053, $4,390,857)",Unverified estimation
87,Salih Özcan,tr TUR,MF,Dortmund,27,"€ 72,500 (£ 62,847, $84,440)","€ 3,770,000 (£ 3,268,053, $4,390,857)",Unverified estimation
88,Jarell Quansah,eng ENG,DF,Leverkusen,22,"€ 72,500 (£ 62,847, $84,440)","€ 3,770,000 (£ 3,268,053, $4,390,857)",Unverified estimation
89,Robert Andrich,de GER,"DF,MF",Leverkusen,30,"€ 72,500 (£ 62,847, $84,440)","€ 3,770,000 (£ 3,268,053, $4,390,857)",Unverified estimation
90,Elye Wahi,ci CIV,FW,Eintracht Frankfurt,22,"€ 72,500 (£ 62,847, $84,440)","€ 3,770,000 (£ 3,268,053, $4,390,857)",Unverified estimation
91,Michael Zetterer,de GER,GK,Eintracht Frankfurt,30,"€ 72,500 (£ 62,847, $84,440)","€ 3,770,000 (£ 3,268,053, $4,390,857)",Unverified estimation
92,Hiroki Ito,jp JPN,DF,Bayern Munich,26,"€ 72,500 (£ 62,847, $84,440)","€ 3,770,000 (£ 3,268,053, $4,390,857)",Unverified estimation
93,Oliver Baumann,de GER,GK,Hoffenheim,35,"€ 68,846 (£ 59,680, $80,184)","€ 3,580,000 (£ 3,103,350, $4,169,567)",Unverified estimation
94,Nico Elvedi,ch SUI,DF,Gladbach,28,"€ 68,846 (£ 59,680, $80,184)","€ 3,580,000 (£ 3,103,350, $4,169,567)",Unverified estimation
95,Yannick Gerhardt,de GER,MF,Wolfsburg,31,"€ 68,846 (£ 59,680, $80,184)","€ 3,580,000 (£ 3,103,350, $4,169,567)",Unverified estimation
96,Christian Eriksen,dk DEN,MF,Wolfsburg,33,"€ 67,115 (£ 58,126, $78,013)","€ 3,490,000 (£ 3,022,540, $4,056,659)",
97,Denis Vavro,sk SVK,DF,Wolfsburg,29,"€ 65,385 (£ 56,679, $76,152)","€ 3,400,000 (£ 2,947,316, $3,959,924)",Unverified estimation
98,Chris Führich,de GER,MF,Stuttgart,27,"€ 65,385 (£ 56,679, $76,152)","€ 3,400,000 (£ 2,947,316, $3,959,924)",
99,Jan-Niklas Beste,de GER,MF,Freiburg,26,"€ 65,385 (£ 56,679, $76,152)","€ 3,400,000 (£ 2,947,316, $3,959,924)",Unverified estimation
100,Nicolas Seiwald,at AUT,MF,RB Leipzig,24,"€ 65,385 (£ 56,679, $76,152)","€ 3,400,000 (£ 2,947,316, $3,959,924)",Unverified estimation
101,Nathan Tella,ng NGA,MF,Leverkusen,26,"€ 65,385 (£ 56,679, $76,152)","€ 3,400,000 (£ 2,947,316, $3,959,924)",Unverified estimation
102,Ellyes Skhiri,tn TUN,"MF,DF",Eintracht Frankfurt,30,"€ 65,385 (£ 56,679, $76,152)","€ 3,400,000 (£ 2,947,316, $3,959,924)",Unverified estimation
103,Michy Batshuayi,be BEL,FW,Eintracht Frankfurt,31,"€ 65,385 (£ 56,679, $76,152)","€ 3,400,000 (£ 2,947,316, $3,959,924)",
104,Kamil Grabara,pl POL,GK,Wolfsburg,26,"€ 61,731 (£ 53,512, $71,897)","€ 3,210,000 (£ 2,782,613, $3,738,634)",Unverified estimation
