Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
361,Théo Le Bris,fr FRA,MF,Lorient,22,"€ 12,308 (£ 10,669, $14,335)","€ 640,000 (£ 554,789, $745,398)",Unverified estimation
362,Afonso Moreira,pt POR,"MF,FW",Lyon,20,"€ 12,308 (£ 10,669, $14,335)","€ 640,000 (£ 554,789, $745,398)",Unverified estimation
363,Patrik Carlgren,se SWE,GK,Nantes,33,"€ 12,308 (£ 10,669, $14,335)","€ 640,000 (£ 554,789, $745,398)",Unverified estimation
364,Yassine Benhattab,fr FRA,"MF,FW",Nantes,22,"€ 12,308 (£ 10,669, $14,335)","€ 640,000 (£ 554,789, $745,398)",Unverified estimation
365,Bradley Locko,fr FRA,DF,Brest,23,"€ 12,308 (£ 10,669, $14,335)","€ 640,000 (£ 554,789, $745,398)",Unverified estimation
366,Luck Zogbé,ci CIV,DF,Brest,20,"€ 12,308 (£ 10,669, $14,335)","€ 640,000 (£ 554,789, $745,398)",Unverified estimation
367,Pathé Mboup,,LW,Brest,22,"€ 12,308 (£ 10,669, $14,335)","€ 640,000 (£ 554,789, $745,398)",Unverified estimation
368,Mamadou Coulibaly,,CM,Monaco,21,"€ 10,962 (£ 9,502, $12,767)","€ 570,000 (£ 494,109, $663,870)",Unverified estimation
369,Luca Koleosho,it ITA,MF,Paris FC,20,"€ 10,577 (£ 9,160, $12,294)","€ 550,000 (£ 476,331, $639,302)",Unverified estimation
370,Moustapha Mbow,sn SEN,DF,Paris FC,25,"€ 10,577 (£ 9,169, $12,319)","€ 550,000 (£ 476,772, $640,576)",Unverified estimation
371,Mathys Tourraine,fr FRA,RB,Paris FC,24,"€ 10,577 (£ 9,169, $12,319)","€ 550,000 (£ 476,772, $640,576)",Unverified estimation
372,Sofiane Alakouch,ma MAR,RB,Paris FC,27,"€ 10,577 (£ 9,169, $12,319)","€ 550,000 (£ 476,772, $640,576)",Unverified estimation
373,Tuomas Ollila,,LB,Paris FC,25,"€ 10,577 (£ 9,169, $12,319)","€ 550,000 (£ 476,772, $640,576)",Unverified estimation
374,Dayann Methalie,,CB,Toulouse,19,"€ 10,577 (£ 9,169, $12,319)","€ 550,000 (£ 476,772, $640,576)",Unverified estimation
375,Jacen Russell-Rowe,ca CAN,FW,Toulouse,22,"€ 10,577 (£ 9,160, $12,294)","€ 550,000 (£ 476,331, $639,302)",Unverified estimation
376,Mario Sauer,sk SVK,MF,Toulouse,21,"€ 10,577 (£ 9,169, $12,319)","€ 550,000 (£ 476,772, $640,576)",Unverified estimation
377,Pape Demba Diop,sn SEN,MF,Toulouse,21,"€ 10,577 (£ 9,160, $12,294)","€ 550,000 (£ 476,331, $639,302)",Unverified estimation
378,Warren Kamanzi,no NOR,MF,Toulouse,24,"€ 10,577 (£ 9,169, $12,319)","€ 550,000 (£ 476,772, $640,576)",Unverified estimation
379,Tochukwu Nnadi,,DM,Marseille,22,"€ 10,577 (£ 9,160, $12,294)","€ 550,000 (£ 476,331, $639,302)",Unverified estimation
380,Lasso Coulibaly,ci CIV,MF,Auxerre,22,"€ 10,577 (£ 9,169, $12,319)","€ 550,000 (£ 476,772, $640,576)",Unverified estimation
381,Godson Kyeremeh,fr FRA,FW,Le Havre,25,"€ 10,577 (£ 9,169, $12,319)","€ 550,000 (£ 476,772, $640,576)",Unverified estimation
382,Issa Soumaré,sn SEN,"FW,MF",Le Havre,24,"€ 10,577 (£ 9,169, $12,319)","€ 550,000 (£ 476,772, $640,576)",Unverified estimation
383,Rassoul Ndiaye,sn SEN,MF,Le Havre,23,"€ 10,577 (£ 9,169, $12,319)","€ 550,000 (£ 476,772, $640,576)",Unverified estimation
384,Yanis Zouaoui,,LB,Le Havre,27,"€ 10,577 (£ 9,169, $12,319)","€ 550,000 (£ 476,772, $640,576)",Unverified estimation
385,Rafael Fernandes,pt POR,CB,Lille,23,"€ 10,577 (£ 9,169, $12,319)","€ 550,000 (£ 476,772, $640,576)",Unverified estimation
386,Arthur Avom,,CM,Lorient,21,"€ 10,577 (£ 9,169, $12,319)","€ 550,000 (£ 476,772, $640,576)",Unverified estimation
387,Benjamin Leroy,fr FRA,GK,Lorient,36,"€ 10,577 (£ 9,169, $12,319)","€ 550,000 (£ 476,772, $640,576)",Unverified estimation
388,Dermane Karim,,DM,Lorient,22,"€ 10,577 (£ 9,169, $12,319)","€ 550,000 (£ 476,772, $640,576)",Unverified estimation
389,Amady Camara,,CF,Nantes,20,"€ 10,577 (£ 9,169, $12,319)","€ 550,000 (£ 476,772, $640,576)",Unverified estimation
390,Herba Guirassy,,LW,Nantes,19,"€ 10,577 (£ 9,169, $12,319)","€ 550,000 (£ 476,772, $640,576)",Unverified estimation
391,Daouda Guindo,ml MLI,DF,Brest,22,"€ 10,577 (£ 9,169, $12,319)","€ 550,000 (£ 476,772, $640,576)",Unverified estimation
392,Junior Diaz,,CB,Brest,22,"€ 10,577 (£ 9,169, $12,319)","€ 550,000 (£ 476,772, $640,576)",Unverified estimation
393,Nidal Čelik,ba BIH,DF,Lens,19,"€ 10,577 (£ 9,169, $12,319)","€ 550,000 (£ 476,772, $640,576)",Unverified estimation
394,Paris Brunner,de GER,FW,Monaco,19,"€ 10,000 (£ 8,669, $11,647)","€ 520,000 (£ 450,766, $605,635)",Unverified estimation
395,Adama Camara,fr FRA,"MF,DF",Paris FC,28,"€ 8,654 (£ 7,502, $10,079)","€ 450,000 (£ 390,086, $524,108)",Unverified estimation
396,Lohann Doucet,bf BFA,MF,Paris FC,22,"€ 8,654 (£ 7,502, $10,079)","€ 450,000 (£ 390,086, $524,108)",Unverified estimation
